flavour,user_name,rating,title,review_description,date,country,cleaned_reviews,afinn_score,bing_score,nrc_score,sentiment_label,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust
Salted Caramel,Peter_the_Gr8,4.0,"Good coffee, bad packaging",I enjoy this coffee. It's an excellent taste while still being mild. This is the first time it was delivered in a mailer envelope versus a box. It should be packed in a box. Luckily none of the k-cups open but the box is the unusable to store the coffee in my house. I realize these are first world problems but the whole thing smells of coffee and I'm sure one of them was on the verge of bursting.," June 14, 2023",United States 🇺🇸,i enjoy this coffee. it's an excellent taste while still being mild. this is the first time it was delivered in a mailer envelope versus a box. it should be packed in a box. luckily none of the k-cups open but the box is the unusable to store the coffee in my house. i realize these are first world problems but the whole thing smells of coffee and i'm sure one of them was on the verge of bursting.,6.0,6.0,15.0,Very Positive,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.0,0.0,0.13333333333333333
Chocolate Raspberry Truffle,Sherry Mitchell,5.0,Third try is a charm,It took me 3x (3 different kcup brands) to find a chocolate/raspberry that isn't bitter .I don't use milk/creamer and just pinch of sugar and it's the BEST afternoon coffee. This was a small box order. Next order will be more . Love it," June 10, 2023",United States 🇺🇸,it took me 3x (3 different kcup brands) to find a chocolate/raspberry that isn't bitter .i don't use milk/creamer and just pinch of sugar and it's the best afternoon coffee. this was a small box order. next order will be more . love it,4.0,4.0,4.0,Very Positive,0.0,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0
Chocolate Raspberry Truffle,VinRob,5.0,Perfect Flavor!!!!,"WAs looking forward to trying this flavor and let me tell you was not disappointed at all.. Perfect tasting cup of coffee, you will not be disappointed as a matter of fact I am ordering the 90 count.. The price is great as well. For those that want additional raspberry flavor I paired this with White Chocolate Raspberry creamer for extra taste..you will not regret this purchase..Keep up the great work.Thank you"," May 23, 2023",United States 🇺🇸,"was looking forward to trying this flavor and let me tell you was not disappointed at all.. perfect tasting cup of coffee, you will not be disappointed as a matter of fact i am ordering the 90 count.. the price is great as well. for those that want additional raspberry flavor i paired this with white chocolate raspberry creamer for extra taste..you will not regret this purchase..keep up the great work.thank you",7.0,5.0,21.0,Very Positive,0.07407407407407407,0.1111111111111111,0.07407407407407407,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.18518518518518517
Vanilla Pumpkin Spice,Fae,4.0,"Not bad, could be better","I've come to really love this brand, but of course there's always gonna be a flaw. I think they missed the mark just a little with this one. It's not terrible and I will probably continue to drink them til they're gone. However, the flavor was just a little too weak for me.

I may try to brew it on the Strong setting and see if that makes a difference, but I think they have better flavors. To me it didn't really taste like vanilla or pumpkin spice, just sort of a weaker chai. But again, maybe I just need it a bit stronger because it is a medium roast. I don't think there's anything specifically wrong with this product, just more a matter of flavor preference."," March 12, 2023",United States 🇺🇸,"i've come to really love this brand, but of course there's always gonna be a flaw. i think they missed the mark just a little with this one. it's not terrible and i will probably continue to drink them til they're gone. however, the flavor was just a little too weak for me. i may try to brew it on the strong setting and see if that makes a difference, but i think they have better flavors. to me it didn't really taste like vanilla or pumpkin spice, just sort of a weaker chai. but again, maybe i just need it a bit stronger because it is a medium roast. i don't think there's anything specifically wrong with this product, just more a matter of flavor preference.",1.0,3.0,11.0,Very Positive,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.14285714285714285,0.0,0.07142857142857142
Chocolate Raspberry Truffle,Lashlouise,5.0,Awesome Flavor,Love the flavor. Will definitely buy again!!," June 16, 2023",United States 🇺🇸,love the flavor. will definitely buy again!!,3.0,3.0,2.0,Very Positive,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Salted Caramel,Amazon Customer Michele,4.0,Not what I was looking for,I wanted something that tastes like the latte I used to get at a coffee shop. This is the 2nd one I’ve tried and it’s not right. I should have known by reading the label. My fault," April 30, 2023",United States 🇺🇸,i wanted something that tastes like the latte i used to get at a coffee shop. this is the 2nd one i’ve tried and it’s not right. i should have known by reading the label. my fault,2.0,2.0,3.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.25
Salted Caramel,kristy brinson,4.0,Not bad at all,This coffee is actually very tasty.," May 20, 2023",United States 🇺🇸,this coffee is actually very tasty.,0.0,0.0,0.0,Neutral,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chocolate Raspberry Truffle,Marlene Nass,5.0,It will go fast,Love it. The best coffee in the world.," June 12, 2023",United States 🇺🇸,love it. the best coffee in the world.,6.0,6.0,2.0,Very Positive,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
Chocolate Raspberry Truffle,Challender,5.0,Really good flavor!,"I would definitely buy again.
It smells divine in your mug."," June 10, 2023",United States 🇺🇸,i would definitely buy again. it smells divine in your mug.,0.0,0.0,0.0,Neutral,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0
Chocolate Raspberry Truffle,Christie,5.0,Kcups,Great flavor and convenient," June 14, 2023",United States 🇺🇸,great flavor and convenient,3.0,3.0,1.0,Very Positive,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
